PostIndex,Topic,Emotion,AudioFormat,VideoFormat,Language
1448,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1450,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1452,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1455,Heartbreak Romance,hatred,lip-syncing,special-effects,Bengali
1458,Couple Romance,affection,lip-syncing,self-shot,Bengali
1460,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Bengali
1463,Memes,happy,self-spoken-dialogues,special-effects,Bengali
1487,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1498,Couple Romance,neutral,background-song-with-lyrics,animation,Bengali
1507,Couple Romance,happy,lip-syncing,self-shot,Bengali
1515,Couple Romance,affection,lip-syncing,self-shot,Bengali
1516,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Bengali
1540,Dance,happy,lip-syncing,special-effects,Bengali
1541,Pranks,happy,self-spoken-monologues,videos-with-text,Bengali
1561,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1562,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1563,Couple Romance,affection,lip-syncing,special-effects,Bengali
1569,Couple Romance,affection,lip-syncing,self-shot,Bengali
1573,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1576,Couple Romance,affection,lip-syncing,self-shot,Bengali
1586,Dance,happy,lip-syncing,self-shot,Bengali
1592,Couple Romance,affection,background-song-with-lyrics,self-shot,Bengali
1594,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1600,Couple Romance,affection,lip-syncing,self-shot,Bengali
1602,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1615,Couple Romance,affection,background-song-with-lyrics,self-shot,Bengali
1624,Couple Romance,affection,background-song-with-lyrics,special-effects,Bengali
1625,Couple Romance,affection,lip-syncing,special-effects,Bengali
1645,Dance,affection,self-spoken-monologues,self-shot,Bengali
1647,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Bengali
1654,Dance,happy,lip-syncing,self-shot,Bengali
1658,Couple Romance,happy,lip-syncing,self-shot,Bengali
1660,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1662,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1666,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1674,Couple Romance,affection,lip-syncing,special-effects,Bengali
1675,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Bengali
1676,Couple Romance,affection,background-song-with-lyrics,special-effects,Bengali
1685,Couple Romance,affection,lip-syncing,self-shot,Bengali
1693,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1696,Couple Romance,happy,lip-syncing,videos-with-text,Bengali
1705,Couple Romance,affection,lip-syncing,special-effects,Bengali
1708,Dance,happy,lip-syncing,special-effects,Bengali
1714,Dance,happy,lip-syncing,self-shot,Bengali
1719,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1720,Couple Romance,happy,lip-syncing,self-shot,Bengali
1724,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1726,Couple Romance,affection,lip-syncing,self-shot,Bengali
1731,Heartbreak Romance,sad,self-spoken-monologues,videos-with-text,Bengali
1740,Couple Romance,affection,lip-syncing,special-effects,Bengali
1744,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1753,Dance,happy,lip-syncing,special-effects,Bengali
1757,Dance,happy,lip-syncing,self-shot,Bengali
1763,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1764,Dance,happy,lip-syncing,self-shot,Bengali
1772,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1779,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1781,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1784,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Bengali
1787,Couple Romance,happy,background-song-with-lyrics,special-effects,Bengali
1792,Dance,happy,lip-syncing,self-shot,Bengali
1800,Couple Romance,affection,lip-syncing,self-shot,Bengali
1802,Couple Romance,affection,background-song-with-lyrics,animation,Bengali
1805,Couple Romance,affection,lip-syncing,self-shot,Bengali
1816,Couple Romance,affection,background-song-with-lyrics,self-shot,Bengali
1821,Couple Romance,affection,lip-syncing,self-shot,Bengali
1825,Couple Romance,affection,lip-syncing,self-shot,Bengali
1830,Dance,happy,lip-syncing,self-shot,Bengali
1840,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1845,Couple Romance,happy,background-song-with-lyrics,special-effects,Bengali
1847,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1850,Couple Romance,affection,lip-syncing,self-shot,Bengali
1867,Couple Romance,affection,lip-syncing,special-effects,Bengali
1879,Heartbreak Romance,sad,background-song-with-lyrics,videos-with-text,Bengali
1889,Couple Romance,affection,lip-syncing,self-shot,Bengali
1891,Dance,affection,self-spoken-monologues,self-shot,Bengali
1893,Couple Romance,affection,background-song-with-lyrics,image,Bengali
1896,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1900,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1910,Pranks,happy,self-spoken-dialogues,self-shot,Bengali
1916,Dance,happy,self-spoken-monologues,special-effects,Bengali
1928,Couple Romance,affection,background-song-with-lyrics,special-effects,Bengali
1929,Couple Romance,affection,lip-syncing,self-shot,Bengali
1934,Couple Romance,affection,lip-syncing,videos-with-text,Bengali
1943,Couple Romance,affection,lip-syncing,self-shot,Bengali
1970,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1978,Couple Romance,happy,background-song-with-lyrics,special-effects,Bengali
1990,Couple Romance,happy,lip-syncing,self-shot,Bengali
2014,Couple Romance,happy,background-song-with-lyrics,image,Bengali
2095,Pranks,anger,self-spoken-dialogues,self-shot,Bengali
4230,Couple Romance,happy,lip-syncing,self-shot,Haryanvi
4234,Dance,happy,lip-syncing,self-shot,Haryanvi
4238,Dance,happy,lip-syncing,self-shot,Haryanvi
4239,Dance,happy,lip-syncing,special-effects,Haryanvi
4245,Couple Romance,neutral,background-song-with-lyrics,videos-with-text,Haryanvi
4252,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4257,Dance,happy,lip-syncing,self-shot,Haryanvi
4259,Couple Romance,happy,background-song-with-lyrics,self-shot,Haryanvi
4263,Heartbreak Romance,sad,lip-syncing,special-effects,Haryanvi
4268,Dance,happy,background-song-with-lyrics,special-effects,Haryanvi
4277,Dance,happy,background-song-with-lyrics,self-shot,Haryanvi
4278,Couple Romance,confidence,background-song-with-lyrics,videos-with-text,Haryanvi
4288,Heartbreak Romance,sad,lip-syncing,special-effects,Haryanvi
4301,Dance,happy,lip-syncing,special-effects,Haryanvi
4302,Dance,happy,lip-syncing,self-shot,Haryanvi
4310,Couple Romance,happy,lip-syncing,special-effects,Haryanvi
4312,Memes,happy,background-song-with-lyrics,special-effects,Haryanvi
4319,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Haryanvi
4327,Couple Romance,affection,lip-syncing,special-effects,Haryanvi
4328,Dance,happy,lip-syncing,special-effects,Haryanvi
4344,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4346,Dance,happy,lip-syncing,self-shot,Haryanvi
4357,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4360,Heartbreak Romance,sad,background-song-with-lyrics,videos-with-text,Haryanvi
4361,Couple Romance,affection,background-song-with-lyrics,self-shot,Haryanvi
4366,Dance,happy,background-song-with-lyrics,videos-with-text,Haryanvi
4369,Couple Romance,affection,background-song-with-lyrics,special-effects,Haryanvi
4373,Dance,happy,lip-syncing,self-shot,Haryanvi
4374,Heartbreak Romance,sad,lip-syncing,special-effects,Haryanvi
4384,Couple Romance,happy,lip-syncing,special-effects,Haryanvi
4385,Couple Romance,affection,self-spoken-dialogues,videos-with-text,Haryanvi
4394,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4397,Couple Romance,affection,background-song-with-lyrics,self-shot,Haryanvi
4404,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4405,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
4408,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
4410,Couple Romance,affection,background-song-with-lyrics,self-shot,Haryanvi
4416,Heartbreak Romance,sad,self-spoken-monologues,self-shot,Haryanvi
4419,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4420,Heartbreak Romance,sad,self-spoken-monologues,special-effects,Haryanvi
4428,Dance,happy,lip-syncing,self-shot,Haryanvi
4429,Dance,happy,lip-syncing,special-effects,Haryanvi
4431,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
4437,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
4443,Couple Romance,affection,background-song-with-lyrics,self-shot,Haryanvi
4445,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4466,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4482,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
4508,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Haryanvi
4510,Couple Romance,happy,background-song-with-lyrics,self-shot,Haryanvi
4512,Dance,happy,lip-syncing,self-shot,Haryanvi
4520,Couple Romance,neutral,lip-syncing,videos-with-text,Haryanvi
4523,Dance,happy,lip-syncing,self-shot,Haryanvi
4529,Dance,happy,lip-syncing,self-shot,Haryanvi
4530,Couple Romance,happy,lip-syncing,self-shot,Haryanvi
4538,Memes,happy,lip-syncing,self-shot,Haryanvi
4543,Dance,happy,background-song-with-lyrics,videos-with-text,Haryanvi
4554,Couple Romance,happy,background-song-with-lyrics,self-shot,Haryanvi
4557,Couple Romance,happy,background-song-with-lyrics,self-shot,Haryanvi
4567,Couple Romance,affection,self-spoken-monologues,special-effects,Haryanvi
4583,Couple Romance,affection,background-song-with-lyrics,videos-with-text,Haryanvi
4587,Dance,happy,background-song-with-lyrics,self-shot,Haryanvi
4596,Dance,happy,lip-syncing,special-effects,Haryanvi
4597,Dance,happy,lip-syncing,special-effects,Haryanvi
4602,Couple Romance,surprise,background-song-with-lyrics,special-effects,Haryanvi
4605,Couple Romance,happy,lip-syncing,self-shot,Haryanvi
4606,Pranks,happy,background-song-with-lyrics,self-shot,Haryanvi
4610,Couple Romance,happy,lip-syncing,special-effects,Haryanvi
4613,Dance,happy,lip-syncing,special-effects,Haryanvi
4628,Dance,happy,lip-syncing,special-effects,Haryanvi
4640,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
4641,Couple Romance,neutral,lip-syncing,videos-with-text,Haryanvi
4652,Couple Romance,neutral,background-song-with-lyrics,self-shot,Haryanvi
4657,Dance,happy,lip-syncing,self-shot,Haryanvi
4664,Couple Romance,sad,lip-syncing,self-shot,Haryanvi
4665,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Haryanvi
4666,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4669,Dance,happy,lip-syncing,self-shot,Haryanvi
4679,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
4682,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4689,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4697,Couple Romance,happy,lip-syncing,self-shot,Haryanvi
4720,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4725,Dance,happy,self-sung-song,self-shot,Haryanvi
4731,Heartbreak Romance,sad,lip-syncing,special-effects,Haryanvi
4734,Dance,happy,lip-syncing,self-shot,Haryanvi
4742,Couple Romance,happy,background-song-with-lyrics,self-shot,Haryanvi
4755,Dance,happy,lip-syncing,self-shot,Haryanvi
4756,Heartbreak Romance,neutral,self-spoken-monologues,videos-with-text,Haryanvi
4757,Dance,happy,lip-syncing,special-effects,Haryanvi
4758,Couple Romance,confidence,background-song-with-lyrics,special-effects,Haryanvi
4760,Heartbreak Romance,sad,lip-syncing,videos-with-text,Haryanvi
4766,Couple Romance,affection,lip-syncing,special-effects,Haryanvi
4768,Heartbreak Romance,happy,background-song-with-lyrics,special-effects,Haryanvi
4769,Couple Romance,sad,lip-syncing,self-shot,Haryanvi
4777,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Haryanvi
4788,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Haryanvi
4789,Couple Romance,sad,background-song-with-lyrics,self-shot,Haryanvi
4790,Heartbreak Romance,sad,lip-syncing,special-effects,Haryanvi
4792,Dance,happy,background-song-with-lyrics,special-effects,Haryanvi
4793,Dance,neutral,lip-syncing,self-shot,Haryanvi
4796,Heartbreak Romance,sad,lip-syncing,special-effects,Haryanvi
4797,Dance,happy,lip-syncing,self-shot,Haryanvi
4798,Dance,happy,lip-syncing,self-shot,Haryanvi
4806,Dance,happy,lip-syncing,special-effects,Haryanvi
4809,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Haryanvi
4810,Heartbreak Romance,sad,lip-syncing,special-effects,Haryanvi
4821,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4826,Dance,happy,background-song-with-lyrics,self-shot,Haryanvi
4827,Heartbreak Romance,neutral,background-song-with-lyrics,self-shot,Haryanvi
4830,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
4838,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
4845,Dance,neutral,lip-syncing,self-shot,Haryanvi
4849,Dance,affection,lip-syncing,self-shot,Haryanvi
4850,Dance,happy,lip-syncing,special-effects,Haryanvi
4852,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Haryanvi
4865,Couple Romance,happy,lip-syncing,self-shot,Haryanvi
4869,Dance,happy,lip-syncing,self-shot,Haryanvi
4874,Heartbreak Romance,sad,lip-syncing,special-effects,Haryanvi
4878,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4881,Heartbreak Romance,sad,self-spoken-monologues,special-effects,Haryanvi
4904,Heartbreak Romance,happy,self-spoken-dialogues,videos-with-text,Haryanvi
4909,Couple Romance,affection,background-song-with-lyrics,special-effects,Haryanvi
4910,Couple Romance,affection,background-song-with-lyrics,self-shot,Haryanvi
4913,Dance,happy,lip-syncing,self-shot,Haryanvi
4914,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
4923,Dance,happy,lip-syncing,self-shot,Haryanvi
4925,Couple Romance,affection,background-song-with-lyrics,self-shot,Haryanvi
4928,Dance,happy,lip-syncing,special-effects,Haryanvi
4930,Heartbreak Romance,sad,lip-syncing,videos-with-text,Haryanvi
4933,Couple Romance,happy,lip-syncing,self-shot,Haryanvi
4934,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
4935,Pranks,happy,background-song-with-lyrics,self-shot,Haryanvi
4937,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
4947,Dance,neutral,lip-syncing,self-shot,Haryanvi
4948,Heartbreak Romance,sad,lip-syncing,special-effects,Haryanvi
4951,Couple Romance,happy,lip-syncing,self-shot,Haryanvi
4954,Heartbreak Romance,sad,lip-syncing,special-effects,Haryanvi
4958,Dance,happy,lip-syncing,self-shot,Haryanvi
4959,Dance,happy,lip-syncing,self-shot,Haryanvi
4962,Dance,happy,lip-syncing,self-shot,Haryanvi
4974,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
4979,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
4987,Dance,happy,background-song-with-lyrics,special-effects,Haryanvi
4990,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
4993,Heartbreak Romance,sad,lip-syncing,special-effects,Haryanvi
4995,Couple Romance,sad,lip-syncing,special-effects,Haryanvi
4996,Dance,happy,lip-syncing,self-shot,Haryanvi
4998,Couple Romance,neutral,background-song-with-lyrics,self-shot,Haryanvi
4999,Dance,happy,lip-syncing,self-shot,Haryanvi
5001,Couple Romance,affection,lip-syncing,self-shot,Haryanvi
5005,Dance,neutral,lip-syncing,self-shot,Haryanvi
5010,Pranks,happy,self-spoken-dialogues,self-shot,Haryanvi
5014,Dance,happy,lip-syncing,special-effects,Haryanvi
5028,Couple Romance,happy,background-song-with-lyrics,self-shot,Haryanvi
5038,Dance,happy,lip-syncing,self-shot,Haryanvi
5043,Heartbreak Romance,sad,background-song-with-lyrics,videos-with-text,Haryanvi
5046,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
5052,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Haryanvi
5055,Heartbreak Romance,sad,lip-syncing,self-shot,Haryanvi
5060,Dance,neutral,lip-syncing,self-shot,Haryanvi
5063,Couple Romance,affection,background-song-with-lyrics,self-shot,Haryanvi
5085,Dance,neutral,lip-syncing,special-effects,Haryanvi
5092,Couple Romance,happy,lip-syncing,self-shot,Haryanvi
5114,Couple Romance,affection,lip-syncing,self-shot,Hindi
5122,Dance,happy,lip-syncing,special-effects,Hindi
5141,Dance,happy,lip-syncing,self-shot,Hindi
5142,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
5143,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
5145,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
5158,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
5160,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
5162,Couple Romance,affection,lip-syncing,self-shot,Hindi
5164,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
5169,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
5175,Couple Romance,happy,background-song-with-lyrics,special-effects,Hindi
5180,Couple Romance,affection,background-song-with-lyrics,image,Hindi
5189,Pranks,confusion,background-song-with-lyrics,special-effects,Hindi
5196,Heartbreak Romance,sad,self-spoken-dialogues,self-shot,Hindi
5200,Couple Romance,affection,lip-syncing,self-shot,Hindi
5201,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
5203,Dance,happy,lip-syncing,self-shot,Hindi
5204,Couple Romance,affection,self-spoken-dialogues,self-shot,Hindi
5208,Couple Romance,affection,lip-syncing,self-shot,Hindi
5209,Couple Romance,affection,lip-syncing,self-shot,Hindi
5217,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
5223,Dance,affection,instrumental,self-shot,Hindi
5252,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
5267,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
5272,Couple Romance,affection,background-song-with-lyrics,self-shot,Hindi
5273,Dance,happy,lip-syncing,self-shot,Hindi
5276,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
5277,Couple Romance,neutral,background-song-with-lyrics,special-effects,Hindi
5282,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
5285,Couple Romance,affection,lip-syncing,self-shot,Hindi
5287,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
5288,Couple Romance,happy,lip-syncing,special-effects,Hindi
5295,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
5304,Couple Romance,happy,lip-syncing,self-shot,Hindi
5310,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Hindi
5322,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
5327,Couple Romance,affection,lip-syncing,special-effects,Hindi
5336,Pranks,happy,self-spoken-monologues,special-effects,Hindi
5340,Couple Romance,affection,lip-syncing,self-shot,Hindi
5341,Pranks,happy,self-spoken-monologues,videos-with-text,Hindi
5373,Couple Romance,sad,background-song-with-lyrics,special-effects,Hindi
5377,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
5390,Heartbreak Romance,confidence,lip-syncing,self-shot,Hindi
5407,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
5411,Pranks,happy,background-song-with-lyrics,videos-with-text,Hindi
5421,Heartbreak Romance,sad,lip-syncing,videos-with-text,Hindi
5427,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
5428,Couple Romance,affection,lip-syncing,special-effects,Hindi
5444,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
5449,Pranks,happy,self-spoken-monologues,special-effects,Hindi
5450,Pranks,happy,self-spoken-monologues,special-effects,Hindi
5453,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
5472,Heartbreak Romance,sad,lip-syncing,videos-with-text,Hindi
5476,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
5485,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
5486,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
5504,Pranks,happy,self-spoken-monologues,videos-with-text,Hindi
5510,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Hindi
5522,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
5525,Couple Romance,affection,lip-syncing,self-shot,Hindi
5537,Couple Romance,happy,background-song-with-lyrics,special-effects,Hindi
5541,Dance,affection,lip-syncing,special-effects,Hindi
5547,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
5549,Dance,happy,lip-syncing,special-effects,Hindi
5550,Couple Romance,affection,lip-syncing,self-shot,Hindi
5551,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
5561,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
5567,Couple Romance,neutral,background-song-with-lyrics,special-effects,Hindi
5572,Dance,affection,lip-syncing,self-shot,Hindi
5573,Dance,affection,lip-syncing,self-shot,Hindi
5589,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
5594,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
5596,Couple Romance,affection,background-song-with-lyrics,image,Hindi
5597,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
5598,Pranks,happy,background-song-with-lyrics,self-shot,Hindi
5603,Couple Romance,affection,lip-syncing,self-shot,Hindi
5604,Couple Romance,confidence,lip-syncing,special-effects,Hindi
5613,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
5614,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
5619,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
5658,Couple Romance,affection,lip-syncing,self-shot,Hindi
5662,Couple Romance,affection,lip-syncing,self-shot,Hindi
5674,Pranks,happy,self-spoken-monologues,self-shot,Hindi
5678,Couple Romance,happy,background-song-with-lyrics,self-shot,Hindi
5682,Couple Romance,affection,lip-syncing,self-shot,Hindi
5684,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
5691,Couple Romance,affection,lip-syncing,videos-with-text,Hindi
5701,Couple Romance,affection,lip-syncing,self-shot,Hindi
5709,Pranks,fear,background-song-with-lyrics,self-shot,Hindi
5717,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
5721,Pranks,happy,self-spoken-dialogues,special-effects,Hindi
5722,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
5746,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
5760,Couple Romance,affection,lip-syncing,self-shot,Hindi
5763,Heartbreak Romance,neutral,lip-syncing,self-shot,Hindi
5782,Pranks,happy,noise,self-shot,Hindi
5787,Couple Romance,affection,lip-syncing,self-shot,Hindi
5792,Dance,neutral,background-song-with-lyrics,self-shot,Hindi
5796,Couple Romance,affection,background-song-with-lyrics,special-effects,Hindi
5802,Couple Romance,affection,lip-syncing,self-shot,Hindi
5807,Dance,neutral,lip-syncing,self-shot,Hindi
5809,Pranks,happy,self-spoken-dialogues,self-shot,Hindi
5814,Heartbreak Romance,sad,lip-syncing,self-shot,Hindi
5822,Couple Romance,affection,lip-syncing,self-shot,Hindi
5837,Heartbreak Romance,sad,lip-syncing,special-effects,Hindi
